"Acer Iconia A3-A10","a3-a10"
"Huawei Y7","ldn-l01"
"Huawei Y7","trt-lx3"
"Huawei Y7 Prime","trt-l53"
"Huawei Y7 Prime","trt-l21a"
"Huawei Y7 Prime","ldn-l21"
"Huawei Y7 TRT-LX1","trt-lx1"
"Huawei Y9","fla-lx1"
"Iconia One 8","b1-850"
"Infinix Hot 4 Pro","infinix hot 4"
"Infinix Hot 5","x559c"
"Infinix Hot 5","infinix x559c"
"INFINIX NOTE 4","x572"
"Infinix Note 4","infinix x572"
"InnJoo Halo X","halo x"
"iPad","ipad"
"iPad","ipad retina (4th gen)"
"iPad (5th generation)","ipad (5th gen)"
"ipad 4","ipad 4"
"ipad 4","ipad4,4"
"ipad 5","ipad 5 - wifi"
"ipad air","ipad air"
"iPad Air","ipad air - wifi"
"Ipad air 2","ipad air 2 - cellular"
"iPad Air 2","ipad air - cellular"
"ipad mini","ipad mini"
"iPad Mini Retina","ipad mini retina - wifi"
"ipad4","ipad4,1"
"ipad5","ipad5,3"
"iPad6","ipad6,11"
"iPhone","iphone"
"iphone 5","iphone 5 cdma"
"iphone 5","iphone 5"
"iPhone 5C","iphone 5c"
"iPhone 5S","iphone6,2"
"iPhone 6","iphone 6"
"iphone 6 plus","iphone 6 plus"
"iPhone 6s","iphone 6s"
"iPhone 6s plus","iphone 6s plus"
"iPhone 7","iphone 7"
"iPhone 7 plus","iphone 7 plus"
"iPhone 7 Plus","7 plus"
"iPhone 8","iphone 8"
"iPhone 8.2","iphone8,2"
"iPhone 8plus","iphone 8 plus"
"iPhone 9","iphone9,3"
"iPhone SE","iphone se"
"iPhone X","iphone x"
"iphone10","iphone10,4"
"iphone10","iphone10,6"
"iphone10","iphone10,5"
"iPhone7","iphone7,1"
"iphone7","iphone7,2"
"iphone8","iphone8,1"
"iphone8","iphone8,4"
"iphone9","iphone9,4"
"iPod","ipod"
"iPod Touch","ipod touch"
"Kindle Fire 5th Gen","kffowi"
"kindle fire hd","kindle fire hd"
"Kindle Fire HD 10","kftbwi"
"Kindle Fire HD 6","fire hd 6"
"Kindle Fire HD 7","kfsowi"
"Kindle Fire HD 7","fire hd 7"
"Kindle Fire HD 7","kindle fire hd 7 (3rd gen)"
"Konrow just5","just5"
"Kyocera Brigadier E6782","e6782"
"Kyocera DuraForce PRO","e6810"
"Kyocera Hydro Icon","c6730"
"Kyocera Hydro Reach","c6743"
"Kyocera Hydro Wave","c6740n"
"Lava Iris 50","iris50"
"LAVA Iris 702","iris702"
"Lava Iris 820","iris 820"
"Lava Iris 870","iris 870"
"Leagoo kiicaa power","kiicaa power"
"LeEco Le S3","lex626"
"Lenovo A10-70","a7600-h"
"Lenovo A1000","lenovo a1000"
"Lenovo A1000","a1000"
"Lenovo A2010","a2010-a"
"Lenovo A2010","lenovo a2010-a"
"Lenovo A5000","a5000"
"Lenovo A536","lenovo a536"
"Lenovo A536","a536"
"Lenovo A6000","lenovo a6000"
"Lenovo A6000","a6000"
"Lenovo A6010","a6010"
"Lenovo A7000","a7000-a"
"Lenovo A7000","lenovo a7000-a"
"Lenovo A7000","a7000"
"Lenovo B","a2016a40 b"
"Lenovo B","lenovo a2016a40"
"Lenovo C2","lenovo k10a40"
"Lenovo C2","k10a40"
"Lenovo Ideapad","a5500-f"
"Lenovo Ideatab","a7600-f"
"Lenovo IdeaTab A10","lenovo a7600-f"
"Lenovo IdeaTab Yoga B8000","b8000-f"
"lenovo k33","k33 a48"
"Lenovo K33b36","lenovo k33b36"
"Lenovo K5 Note","lenovo a7020a48"
"Lenovo K5 Note","a7020a48"
"Lenovo K6","lenovo k33a48"
"Lenovo K6 Note","k53a48"
"Lenovo K6 Note","lenovo k53a48"
"Lenovo K6 Power","k33a42"
"Lenovo K6 Power","lenovo k33a42"
"Lenovo Moto G4","moto g (4)"
"Lenovo Moto G5","moto g (5)"
"Lenovo P2","lenovo p2a42"
"Lenovo P2","p2"
"Lenovo P2","p2a42"
"Lenovo P70","lenovo p70-a"
"Lenovo P70","p70-a"
"Lenovo S90","s90-a"
"Lenovo Tab 10","tb-x103f"
"Lenovo TAB 2","lenovo tb2-x30f"
"LENOVO TAB 2","tb2-x30l"
"Lenovo Tab 2","a7-30hc"
"Lenovo Tab 2","a10-70l"
"Lenovo Tab 2","tb2-x30f"
"Lenovo TAB 2","a10-70f"
"Lenovo Tab 2","a7-10"
"Lenovo Tab 2 A10-70","lenovo tab 2 a10-70f"
"Lenovo Tab 2 A7-20F","a7-20f"
"Lenovo Tab 3 Business","tb3-x70f"
"Lenovo Tab 4","tb-x704f"
"Lenovo Tab 4","tb-x304f"
"Lenovo Tab 7 Essential","tb-7304f"
"Lenovo tab2","tab2a7-10f"
"Lenovo Tab3 7","lenovo tb3-710f"
"Lenovo Tab3 7","tb3-710i"
"Lenovo Tab3 7","lenovo tb3-710i"
"Lenovo Tab3 7","tb3-710f"
"Lenovo Tab3 8","tb3-850f"
"Lenovo TAB4 TB-8504F","tb-8504f"
"Lenovo TAB4 X103F","lenovo tb-x103f"
"Lenovo ThinkPad X230","x230"
"Lenovo Vibe","p1a41"
"Lenovo Vibe","p1ma40"
"Lenovo Vibe A Plus","a1010a20"
